host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
KOI-4427 A,KOI-4427 Ab,400.0,62.0,,0.9936759054871028,0.4216666598095734,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 K6V active
KOI-4878,KOI-4878 b,2.0,16.562271559438752,,0.1039380375627136,10.939209808670498,super,M1A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 G2V scaling
L 98-59,L 98-59 f,574.8275364763142,11.305862102857084,,4.070306081680557,0.0258702903140206,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=11.305862102857084; sp=M3 V
LHS 1140,LHS 1140 b,200.0,131.0,,1.343189511856102,0.0696848800365167,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
LHS 1140,LHS 1140 c,200.0,131.0,,1.343189511856102,0.0199152835574447,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
LP 890-9,LP 890-9 b,300.0,11.072107375485926,,1.0465077567659733,0.0179167329422795,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M6V scaling
LP 890-9,LP 890-9 c,300.0,11.072107375485926,,1.0465077567659733,0.0380694741557556,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M6V scaling
LTT 1445 A,LTT 1445 Ad,2000.0,1.3983576390859198,,1.2218276857820345,0.0736601413172228,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): saturated; P_rot=1.3983576390859198; sp=M3.0
Luyten's Star,Luyten's Star b,250.0,98.0,,3.092268960059866,0.0294282292955003,sub,M1A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3.5V
Luyten's Star,Luyten's Star c,250.0,98.0,,3.092268960059866,0.0116419368641539,sub,M1A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3.5V
